log file,instance id,domain class,search algorithm,plan length,vanilla repair length,vanilla repair,goal reached,iteration,num nodes generated,h_max,sum h cost,sum f cost,sum h cost time,sum grounding time,search time,search g cost,search repair set,repair length comparison,repair string comparison,error message,error group,lift_prob,grounding method
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/driverlog__pp01-err-rate-0-1.yaml,driverlog__pp01-err-rate-0-1,driverlog,bfs,7,1,"drive-truck,(in ?loc-to ?loc-to),precPos,-1",True,8,58,0,0,136,0.0,0.29,2.04,1.0,"drive-truck,(in ?loc-to ?loc-to),precPos,-1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob02-err-rate-0-3.yaml,mprime__pprob02-err-rate-0-3,mprime,bfs,13,1,"feast,(orbits ?l2 ?l2),effPos,1",False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob02-err-rate-0-3.yaml', '1000000', 'mprime__pprob02-err-rate-0-3', '0.33', 'unary']' returned non-zero exit status 1."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob02-err-rate-0-3.yaml\', \'1000000\', \'mprime__pprob02-err-rate-0-3\', \'0.33\', \'unary\']\' returned non-zero exit status 1.\n', 'instance_id': 'mprime__pprob02-err-rate-0-3', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob02-err-rate-0-3.yaml', '1000000', 'mprime__pprob02-err-rate-0-3', '0.33', 'unary'], 'duration': '12.21', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': ""[Errno 12] Cannot allocate memory: '/dev/shm/pddl_files/tmp1lws6b_d'\n"", 'stderr': 'Traceback (most recent call last):\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 135, in ground_pddl\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 485, in get_applicable_actions\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 433, in _get_applicable_var_assigns_action\nMemoryError\n\nDuring handling of the above exception, another exception occurred:\n\nTraceback (most recent call last):\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 196, in get_neighbors\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 140, in ground_pddl\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/tempfile.py"", line 836, in __exit__\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/tempfile.py"", line 840, in cleanup\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/tempfile.py"", line 822, in _rmtree\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/shutil.py"", line 718, in rmtree\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/shutil.py"", line 631, in _rmtree_safe_fd\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/shutil.py"", line 627, in _rmtree_safe_fd\nOSError: [Errno 12] Cannot allocate memory: \'/dev/shm/pddl_files/tmp1lws6b_d\'\n\nDuring handling of the above exception, another exception occurred:\n\nTraceback (most recent call last):\n  File ""instance_solver.py"", line 106, in solve_instance\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 78, in find_path\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 204, in get_neighbors\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/custom_logger.py"", line 44, in log\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/__init__.py"", line 253, in dump\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/__init__.py"", line 241, in dump_all\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/representer.py"", line 27, in represent\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/representer.py"", line 34, in represent_data\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/representer.py"", line 141, in ignore_aliases\nMemoryError\n\nDuring handling of the above exception, another exception occurred:\n\nTraceback (most recent call last):\n  File ""instance_solver.py"", line 138, in <module>\n  File ""instance_solver.py"", line 108, in solve_instance\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/traceback.py"", line 167, in format_exc\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/traceback.py"", line 120, in format_exception\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/traceback.py"", line 493, in __init__\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/traceback.py"", line 493, in __init__\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/traceback.py"", line 508, in __init__\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/traceback.py"", line 336, in extract\nMemoryError\n'}",memory,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob01-err-rate-0-5.yaml,mprime__pprob01-err-rate-0-5,mprime,bfs,5,0,,True,7,107,0,0,184,0.0,97.49,98.97,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/visitall-opt11-strips__pproblem04-half-err-rate-0-3.yaml,visitall-opt11-strips__pproblem04-half-err-rate-0-3,visitall-opt11-strips,bfs,11,1,"move,(connected ?nextpos ?nextpos),precPos,-1",True,13,88,0,0,184,0.0,0.28,1.92,1.0,"move,(connected ?nextpos ?nextpos),precPos,-1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/miconic__ps1-1-err-rate-0-5.yaml,miconic__ps1-1-err-rate-0-5,miconic,bfs,3,1,"board,(boarded ?p),effPos,1",True,4,6,0,0,4,0.0,0.05,1.21,1.0,"board,(boarded ?p),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/miconic__ps2-0-err-rate-0-1.yaml,miconic__ps2-0-err-rate-0-1,miconic,bfs,8,1,"up,(passenger ?f2),effPos,1",True,9,29,0,0,70,0.0,0.13,1.48,1.0,"up,(passenger ?f2),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/miconic__ps1-2-err-rate-0-3.yaml,miconic__ps1-2-err-rate-0-3,miconic,bfs,4,2,"depart,(served ?p),effPos,1
depart,(lift-at ?f),precPos,-1",True,5,9,0,0,16,0.0,0.06,1.21,2.0,"depart,(served ?p),effPos,1
depart,(lift-at ?f),precPos,-1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob17-err-rate-0-3.yaml,mprime__pprob17-err-rate-0-3,mprime,bfs,4,0,,False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob17-err-rate-0-3.yaml', '1000000', 'mprime__pprob17-err-rate-0-3', '0.33', 'unary']' died with <Signals.SIGKILL: 9>."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob17-err-rate-0-3.yaml\', \'1000000\', \'mprime__pprob17-err-rate-0-3\', \'0.33\', \'unary\']\' died with <Signals.SIGKILL: 9>.\n', 'instance_id': 'mprime__pprob17-err-rate-0-3', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mprime__pprob17-err-rate-0-3.yaml', '1000000', 'mprime__pprob17-err-rate-0-3', '0.33', 'unary'], 'duration': '396.05', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': '', 'stderr': ''}",memory,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mystery__pprob19-err-rate-0-1.yaml,mystery__pprob19-err-rate-0-1,mystery,bfs,6,1,"feast,(pleasure ?l1),precPos,-1",False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mystery__pprob19-err-rate-0-1.yaml', '1000000', 'mystery__pprob19-err-rate-0-1', '0.33', 'unary']' died with <Signals.SIGKILL: 9>."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mystery__pprob19-err-rate-0-1.yaml\', \'1000000\', \'mystery__pprob19-err-rate-0-1\', \'0.33\', \'unary\']\' died with <Signals.SIGKILL: 9>.\n', 'instance_id': 'mystery__pprob19-err-rate-0-1', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/mystery__pprob19-err-rate-0-1.yaml', '1000000', 'mystery__pprob19-err-rate-0-1', '0.33', 'unary'], 'duration': '463.33', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': '', 'stderr': ''}",memory,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/freecell__pprobfreecell-2-4-err-rate-0-3.yaml,freecell__pprobfreecell-2-4-err-rate-0-3,freecell,bfs,8,0,,False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/freecell__pprobfreecell-2-4-err-rate-0-3.yaml', '1000000', 'freecell__pprobfreecell-2-4-err-rate-0-3', '0.33', 'unary']' died with <Signals.SIGKILL: 9>."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/freecell__pprobfreecell-2-4-err-rate-0-3.yaml\', \'1000000\', \'freecell__pprobfreecell-2-4-err-rate-0-3\', \'0.33\', \'unary\']\' died with <Signals.SIGKILL: 9>.\n', 'instance_id': 'freecell__pprobfreecell-2-4-err-rate-0-3', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/bfs relax-all lp033/freecell__pprobfreecell-2-4-err-rate-0-3.yaml', '1000000', 'freecell__pprobfreecell-2-4-err-rate-0-3', '0.33', 'unary'], 'duration': '407.28', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': '', 'stderr': ''}",memory,0.33,
