grounding method,lift_prob,search algorithm,domain class,instance_count,C_rate,C_abs,Q,max_h
SG1,0.33,UCS,blks,6,0.17,1.0,1.0,0.0
SG1,0.33,UCS,drivL,3,0.33,1.0,1.0,0.0
SG1,0.33,UCS,fCell,18,0.56,10.0,1.0,0.0
SG1,0.33,UCS,grid,3,0.33,1.0,1.0,0.0
SG1,0.33,UCS,grip,3,1.0,3.0,1.0,0.0
SG1,0.33,UCS,log98,3,0.67,2.0,1.0,0.0
SG1,0.33,UCS,mic,18,0.61,11.0,1.0,0.0
SG1,0.33,UCS,mprim,27,0.7,19.0,1.0,0.0
SG1,0.33,UCS,myst,6,0.33,2.0,1.0,0.0
SG1,0.33,UCS,rovs,3,1.0,3.0,1.0,0.0
SG1,0.33,UCS,sat,6,1.0,6.0,1.0,0.0
SG1,0.33,UCS,tpp,6,0.83,5.0,1.0,0.0
SG1,0.33,UCS,zeno,9,0.67,6.0,1.0,0.0
SG1,0.33,A*_FF,blks,21,0.57,12.0,1.0,5.0
SG1,0.33,A*_FF,depot,3,0.0,0.0,,3.0
SG1,0.33,A*_FF,drivL,6,0.67,4.0,1.0,2.0
SG1,0.33,A*_FF,fCell,36,0.64,23.0,1.0,8.0
SG1,0.33,A*_FF,grid,3,0.33,1.0,1.0,5.0
SG1,0.33,A*_FF,grip,3,1.0,3.0,1.0,4.0
SG1,0.33,A*_FF,log98,3,0.67,2.0,1.0,4.0
SG1,0.33,A*_FF,mic,48,0.6,29.0,1.0,4.0
SG1,0.33,A*_FF,mprim,96,0.77,74.0,1.0,4.0
SG1,0.33,A*_FF,myst,51,0.53,27.0,1.0,4.0
SG1,0.33,A*_FF,rovs,12,1.0,12.0,1.0,6.0
SG1,0.33,A*_FF,sat,9,0.89,8.0,1.0,3.0
SG1,0.33,A*_FF,tpp,12,0.92,11.0,1.0,3.0
SG1,0.33,A*_FF,zeno,21,0.71,15.0,1.0,3.0
SG1,0.33,A*_UARY,mprim,5,0.0,0.0,,
SG1,0.33,A*_UARY,myst,1,0.0,0.0,,
